code,ym,T,Y,S,util,fill,full_surf,ord_success,price_index,gross_margin,unitval,inventory_ratio,channel_coverage,demand_gap,amt_per_cust,new_cust,cat_一类烟,cat_三类烟,cat_二类烟,cat_五类烟,cat_四类烟,band_中低档,band_中档,band_中高档,band_高档,band_低档,CATE,sensitivity
6901028218634,202507,0,1.786502544930002,47.70767188625678,97.0,0.0,100.0,11.51,1.3873473917869037,0.2421950181187635,41870.0,319.5907434402332,0.1186239620403321,1.0,0.0,8.0,1,0,0,0,0,0,0,0,1,0,10.594470868032356,中敏感
6901028218634,202508,0,0.0,49.494174431186785,85.71,0.0,100.0,0.0,1.3873473917869037,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,1,0,0,0,0,0,0,0,1,0,1.6052144302636338,中敏感
6901028218634,202509,0,0.0,49.494174431186785,85.71,0.0,100.0,0.0,1.3873473917869037,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,1,0,0,0,0,0,0,0,1,0,1.6052144302636338,中敏感
6901028218634,202510,0,0.0,49.494174431186785,85.71,0.0,100.0,3.73,1.3873473917869037,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,1,0,0,0,0,0,0,0,1,0,-0.09928590099836314,低敏感
6901028218634,202511,0,0.0,49.494174431186785,85.71,0.0,100.0,3.73,1.3873473917869037,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,1,0,0,0,0,0,0,0,1,0,-0.09928590099836314,低敏感
6901028218634,202601,0,6.242416082193401,82.51500930618263,85.71,98.086124,100.0,3.73,1.3873473917869037,0.3088934889418261,180200.0,178.31463414634146,0.2635933806146572,-97.086124,0.0699474556213017,183.0,1,0,0,0,0,0,0,0,1,0,2.103123426961133,中敏感
6901028218634,202602,0,-12.523355688113938,88.75742538837603,76.2,98.863636,100.0,53.21,1.3873473917869037,0.3088995411654143,180200.0,395.6015325670498,0.6888361045130641,-97.863636,0.0223430878859857,231.0,1,0,0,0,0,0,0,0,1,0,-7.79721717306451,低敏感
6901028218634,202603,1,6.445402913309778,76.2340697002621,80.77,90.0,96.88,11.44,1.3873473917869037,0.3088925114070786,180200.0,1259.4722222222224,0.1394517282479142,-89.0,0.0030928247914183,8.0,1,0,0,0,0,0,0,0,1,0,11.548932890468613,中敏感
6901028218634,202605,1,22.829580384456392,44.97296146689057,94.57,0.0,93.02,5.18,1.3873473917869037,0.2421950181187635,41870.0,319.5907434402332,0.053012048192771,1.0,0.0,8.0,1,0,0,0,0,0,0,0,1,0,24.940292642332157,高敏感
6901028218634,202606,0,12.930810886218836,67.80254185134696,83.33,61.538462,100.0,0.6,1.3873473917869037,0.3089067702552719,180200.0,2688.5,0.0072376357056694,-60.538462,0.0006955850422195,8.0,1,0,0,0,0,0,0,0,1,0,-25.0,低敏感
6901028218757,202501,0,12.245815019680244,59.34904532496855,85.71,97.928994,100.0,0.0,1.1428571428571428,0.2755426845058265,43750.0,207.1087613293051,0.2635933806146572,-96.928994,0.0068631516587677,298.0,1,0,0,0,0,0,0,0,1,0,22.647569569892003,高敏感
6901028218757,202502,0,-6.971475853283167,71.5948603446488,92.23,98.214286,100.0,84.16,1.1428571428571428,0.2755428571428571,43750.0,344.75454545454545,0.9278959810874704,-97.214286,0.0022754137115839,8.0,1,0,0,0,0,0,0,0,1,0,25.0,高敏感
6901028218757,202503,0,-10.92547717601525,64.62338449136563,92.2,99.591837,99.04,49.23,1.1428571428571428,0.2755145199063232,43750.0,232.97131147540983,0.5313609467455621,-98.591837,0.0050532544378698,8.0,1,0,0,0,0,0,0,0,1,0,25.0,高敏感
6901028218757,202504,0,4.999516510276337,53.69790731535038,85.71,98.452883,100.0,3.73,1.1428571428571428,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,-97.452883,0.0028199284862932,8.0,1,0,0,0,0,0,0,0,1,0,25.0,高敏感
6901028218757,202505,0,0.8400457322380177,58.697423825626714,95.21,89.361702,99.28,33.21,1.1428571428571428,0.2755142857142857,43750.0,1308.9523809523807,0.3476190476190476,-88.361702,0.000875,8.0,1,0,0,0,0,0,0,0,1,0,-2.9869588294519263,低敏感
6901028218757,202506,0,-2.2774420523256396,59.53746955786473,88.15,99.065421,99.55,26.25,1.1428571428571428,0.2754522911051212,43750.0,691.0566037735849,0.2971360381861575,-98.065421,0.0022136038186157,8.0,1,0,0,0,0,0,0,0,1,0,25.0,高敏感
6901028218757,202507,0,-19.005239103410922,57.26002750553909,100.0,97.979798,100.0,8.9,1.1428571428571428,0.2754986745213549,43750.0,310.6701030927835,0.0889679715302491,-96.979798,0.0040272835112692,8.0,1,0,0,0,0,0,0,0,1,0,25.0,高敏感
6901028218757,202508,1,17.673047751482038,38.25478840212817,85.71,0.0,100.0,0.0,1.1428571428571428,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,1.0,0.0,8.0,1,0,0,0,0,0,0,0,1,0,5.114824579020311,中敏感
6901028218757,202509,0,-5.431572673184114,55.92783615361021,78.84,98.452883,99.16,56.5,1.1428571428571428,0.2421950181187635,41870.0,319.5907434402332,0.4574468085106383,-97.452883,0.0028199284862932,8.0,1,0,0,0,0,0,0,0,1,0,25.0,高敏感
6901028218757,202510,0,3.2016438349242833,50.496263480426094,100.0,98.452883,100.0,2.24,1.1428571428571428,0.2421950181187635,41870.0,319.5907434402332,0.0224321133412042,-97.452883,0.0028199284862932,8.0,1,0,0,0,0,0,0,0,1,0,15.30610860395903,中敏感
6901028218757,202511,0,0.0,53.69790731535038,85.71,98.452883,100.0,3.73,1.1428571428571428,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,-97.452883,0.0028199284862932,8.0,1,0,0,0,0,0,0,0,1,0,25.0,高敏感
6901028218757,202512,0,-3.0084282381845924,53.69790731535038,85.71,98.452883,100.0,0.0,1.1428571428571428,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,-97.452883,0.0028199284862932,8.0,1,0,0,0,0,0,0,0,1,0,20.305072038492337,高敏感
6901028218757,202601,0,9.028056569452339,50.689479077165785,100.0,98.452883,100.0,3.31,1.1428571428571428,0.2421950181187635,41870.0,319.5907434402332,0.0331360946745562,-97.452883,0.0028199284862932,8.0,1,0,0,0,0,0,0,0,1,0,23.63852571689365,高敏感
6901028218757,202602,0,-3.6968948627932434,59.717535646618124,85.71,99.430199,100.0,3.73,1.1428571428571428,0.275530822758903,43750.0,124.3166189111748,0.2635933806146572,-98.430199,0.0145071258907363,448.0,1,0,0,0,0,0,0,0,1,0,25.0,高敏感
6901028218757,202603,0,3.938389972998195,56.02064078382488,100.0,100.0,100.0,0.12,1.1428571428571428,0.2755147392290249,43750.0,425.2645502645503,0.00119189511323,-99.0,0.0039421930870083,1.0,1,0,0,0,0,0,0,0,1,0,22.341929409018555,高敏感
6901028218757,202605,0,-11.465229966038173,59.959030756823076,85.71,100.0,100.0,0.12,1.1428571428571428,0.2755165845648604,43750.0,732.7931034482759,0.2635933806146572,-99.0,0.0018343373493975,1.0,1,0,0,0,0,0,0,0,1,0,25.0,高敏感
6901028218788,202503,0,0.0,56.32480402408755,85.71,98.452883,100.0,3.73,1.2,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,-97.452883,0.0028199284862932,8.0,1,0,0,0,0,0,0,0,1,0,7.939942081768949,中敏感
6901028218788,202504,0,0.0,56.32480402408755,85.71,98.452883,100.0,3.73,1.2,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,-97.452883,0.0028199284862932,8.0,1,0,0,0,0,0,0,0,1,0,7.939942081768949,中敏感
6901028218788,202505,0,0.0,56.32480402408755,85.71,98.452883,100.0,3.73,1.2,0.2421950181187635,41870.0,319.5907434402332,0.2635933806146572,-97.452883,0.0028199284862932,8.0,1,0,0,0,0,0,0,0,1,0,7.939942081768949,中敏感
