code,ym,T,propensity,in_support
6901028024976,202508,0.0,0.35375777814340187,True
6901028024976,202509,0.0,0.2036025335701382,True
6901028024976,202510,0.0,0.26100467565533775,True
6901028024976,202512,1.0,0.48910277895489424,True
6901028024976,202602,0.0,0.6413532823174325,True
6901028024976,202606,0.0,0.5968013424129928,True
6901028025645,202502,0.0,0.6654636935045676,True
6901028025645,202504,1.0,0.4627800477450361,True
6901028025645,202507,1.0,0.47449248196214894,True
6901028025645,202509,0.0,0.5450675872628394,True
6901028039758,202503,0.0,0.48490796006561615,True
6901028039758,202504,0.0,0.33911624465351836,True
6901028039758,202505,0.0,0.6164819517086906,True
6901028039758,202506,0.0,0.6409771736534174,True
6901028039758,202507,0.0,0.7121406528348072,True
6901028039758,202508,0.0,0.27896998203302775,True
6901028039758,202606,0.0,0.6852904497051909,True
6901028042635,202502,0.0,0.3330624771505586,True
6901028042635,202506,0.0,0.6142682843969258,True
6901028042635,202507,0.0,0.5587132649331569,True
6901028042635,202508,0.0,0.4514653383151211,True
6901028042635,202509,0.0,0.4175715726070868,True
6901028042635,202510,0.0,0.4613942322418252,True
6901028042635,202511,0.0,0.5843042823627517,True
6901028042635,202512,0.0,0.5541801332588359,True
6901028042635,202601,0.0,0.7580591084619218,True
6901028042635,202602,0.0,0.7463952444743712,True
6901028042635,202603,0.0,0.591182584848024,True
6901028042635,202604,0.0,0.41725515385491013,True
6901028042635,202605,0.0,0.7069278385115463,True
6901028042635,202606,1.0,0.7015821554156393,True
6901028042963,202502,0.0,0.36382737053425257,True
6901028045919,202502,1.0,0.3870510489659931,True
6901028045919,202503,0.0,0.5740462548643434,True
6901028045919,202504,0.0,0.5006675279681724,True
6901028045919,202506,1.0,0.5470596545071508,True
6901028045919,202508,0.0,0.528372622734197,True
6901028045919,202510,1.0,0.4426021351521231,True
6901028045919,202512,0.0,0.6071320246778185,True
6901028045919,202601,0.0,0.33421615622647427,True
6901028045919,202602,0.0,0.4277299026839973,True
6901028045919,202603,0.0,0.43820102244597414,True
6901028045919,202604,0.0,0.28934970625670664,True
6901028045919,202605,1.0,0.4623261829702114,True
6901028045919,202606,0.0,0.5597054058483789,True
6901028046893,202502,0.0,0.2973959614956919,True
6901028046893,202503,1.0,0.45001654462857027,True
6901028046893,202504,0.0,0.5439308042373028,True
6901028046893,202505,0.0,0.369917171316708,True
6901028046893,202507,1.0,0.15042690292574623,True
6901028046893,202509,0.0,0.22135269791740722,True
6901028046893,202511,1.0,0.41311405409632923,True
6901028046893,202602,1.0,0.30940960886998586,True
6901028046893,202604,0.0,0.2321946045303131,True
6901028046893,202605,0.0,0.2669376307800979,True
6901028046893,202606,0.0,0.3400584529869,True
6901028051989,202605,0.0,0.7650604055380709,True
6901028057080,202505,0.0,0.3967932906973038,True
6901028057080,202509,1.0,0.16629475236733407,True
6901028057080,202510,0.0,0.433240047012657,True
6901028057080,202603,0.0,0.20429999918669536,True
6901028057080,202604,0.0,0.26867845673139346,True
6901028057080,202605,0.0,0.30625982784475275,True
6901028057080,202606,0.0,0.43500164005944064,True
6901028058148,202508,0.0,0.8038636019831727,True
6901028058148,202509,1.0,0.2692885229928274,True
6901028058148,202510,0.0,0.36443725815035866,True
6901028058148,202602,0.0,0.6350183773538294,True
6901028058148,202603,0.0,0.4998100710220068,True
6901028058148,202604,1.0,0.30442657496394565,True
6901028058148,202605,0.0,0.5007924299813818,True
6901028058148,202606,0.0,0.7233998086408284,True
6901028059114,202604,0.0,0.5061002470745373,True
6901028059114,202605,1.0,0.5902800788335786,True
6901028059114,202606,0.0,0.7052464751846182,True
6901028062015,202502,0.0,0.48849864602708293,True
6901028062015,202503,0.0,0.46292286983793063,True
6901028062015,202504,0.0,0.42307448619175336,True
6901028062015,202505,1.0,0.5547936940452329,True
6901028062015,202506,0.0,0.640894934931572,True
6901028062015,202511,0.0,0.4824598057729648,True
6901028062015,202512,0.0,0.4816979970249743,True
6901028062015,202601,0.0,0.38813520622278985,True
6901028062015,202602,0.0,0.4306118406367885,True
6901028062015,202603,0.0,0.38958454249975066,True
6901028062015,202604,0.0,0.3802232484423522,True
6901028062015,202605,0.0,0.4661925260166842,True
6901028062015,202606,0.0,0.46163843849901603,True
6901028062329,202502,0.0,0.9776696648170413,False
6901028062329,202503,1.0,0.3770496348775251,True
6901028062329,202602,0.0,0.7422970475799286,True
6901028062329,202603,0.0,0.523894375886417,True
6901028062329,202604,0.0,0.4922952971562326,True
6901028062329,202605,0.0,0.569485331965378,True
6901028062329,202606,0.0,0.7931869332418184,True
6901028062350,202602,0.0,0.6466663899680744,True
6901028062350,202603,0.0,0.343541849824144,True
6901028062350,202604,0.0,0.36117249964157283,True
6901028062350,202605,1.0,0.4716441610507044,True
6901028062350,202606,0.0,0.43558774025231245,True
6901028063371,202505,0.0,0.6834877059049109,True
6901028063371,202506,0.0,0.789357352190017,True
6901028063371,202507,0.0,0.65929257855911,True
6901028063371,202508,0.0,0.562838674914526,True
6901028063371,202509,0.0,0.2803631286049475,True
6901028063371,202510,0.0,0.3882537318262786,True
6901028063371,202602,1.0,0.7775759223539067,True
6901028065504,202602,0.0,0.6741367304931053,True
6901028065504,202603,0.0,0.4188753998577647,True
6901028065504,202604,0.0,0.49242502058245646,True
6901028065504,202605,0.0,0.6444778219764112,True
6901028065504,202606,0.0,0.60761994253794,True
6901028071475,202502,1.0,0.6819656022582959,True
6901028071475,202504,0.0,0.4413157935648585,True
6901028071475,202505,1.0,0.5354329802216996,True
6901028071475,202506,0.0,0.6284741079079379,True
6901028071475,202507,0.0,0.5566669990248787,True
6901028071475,202508,0.0,0.3756917268279254,True
6901028071475,202509,0.0,0.7024555734449927,True
6901028071475,202510,0.0,0.573728464772172,True
6901028071475,202601,1.0,0.4164340843169588,True
6901028071475,202603,0.0,0.4893000908195488,True
6901028071475,202605,0.0,0.7855092636444374,True
6901028071475,202606,1.0,0.7302573165655122,True
6901028071536,202509,0.0,0.6473014293744352,True
6901028071536,202510,0.0,0.5411522868492621,True
6901028071536,202603,0.0,0.5197412741358433,True
6901028071536,202604,0.0,0.436374668351073,True
6901028071536,202605,0.0,0.5079317939281207,True
6901028071536,202606,1.0,0.5963413429473251,True
6901028075015,202502,1.0,0.5462375270085393,True
6901028075015,202504,1.0,0.5245620441126716,True
6901028075015,202506,0.0,0.7140025180154124,True
6901028075015,202507,1.0,0.5114542242363055,True
6901028075015,202508,0.0,0.799363328055379,True
6901028075015,202509,0.0,0.3545992459058415,True
6901028075015,202510,1.0,0.416319457685189,True
6901028075015,202511,0.0,0.8866521335503751,True
6901028075015,202512,0.0,0.5979216474496439,True
6901028075015,202601,0.0,0.554137944282921,True
6901028075015,202602,0.0,0.46226141781031727,True
6901028075015,202603,0.0,0.38389960972481035,True
6901028075015,202604,0.0,0.5039708250846299,True
6901028075015,202605,0.0,0.6104071004811726,True
6901028075015,202606,0.0,0.570689723172515,True
6901028075022,202502,1.0,0.6380358901579849,True
6901028075022,202511,0.0,0.5861985073107508,True
6901028075022,202512,0.0,0.7047399066368738,True
6901028075022,202601,0.0,0.6239434834841554,True
6901028075022,202602,1.0,0.5488398063872498,True
6901028075022,202603,0.0,0.5276453555934995,True
6901028075022,202604,0.0,0.5231843907293916,True
6901028075022,202605,0.0,0.6084000368741391,True
6901028075053,202502,0.0,0.5243686792936109,True
6901028075053,202503,0.0,0.5194055039871793,True
6901028075053,202504,0.0,0.30886547703077943,True
6901028075053,202505,0.0,0.5105416176693371,True
6901028075053,202506,0.0,0.5119598797349812,True
6901028075053,202507,0.0,0.2255725219346885,True
6901028075053,202508,0.0,0.28894781135619213,True
6901028075053,202509,0.0,0.3023511207357987,True
6901028075053,202510,0.0,0.1945550917351019,True
6901028075053,202511,1.0,0.49646791898674936,True
6901028075053,202512,0.0,0.6269917707568936,True
6901028075053,202601,0.0,0.5782372168085976,True
6901028075053,202602,0.0,0.6193444126718757,True
6901028075053,202603,0.0,0.2975428307048949,True
6901028075053,202604,0.0,0.3453983964313363,True
6901028075053,202605,0.0,0.6020749060918928,True
6901028075053,202606,0.0,0.3188239578991962,True
6901028077910,202502,1.0,0.6274780803953637,True
6901028077910,202503,0.0,0.5458622075238111,True
6901028077910,202504,0.0,0.5275365145466251,True
6901028077910,202506,0.0,0.7707895118027165,True
6901028077910,202508,1.0,0.5275399286724066,True
6901028077910,202602,0.0,0.6427467963811367,True
6901028077910,202603,0.0,0.5931360410428084,True
6901028077910,202604,0.0,0.5332996956239962,True
6901028077910,202605,0.0,0.6001697918637436,True
6901028077910,202606,0.0,0.7118195985156899,True
6901028079990,202502,0.0,0.41800787324462985,True
6901028079990,202503,0.0,0.5402808846009814,True
6901028079990,202504,0.0,0.32463069625286184,True
6901028079990,202506,1.0,0.6992871562589574,True
6901028079990,202508,0.0,0.5317174974502471,True
6901028079990,202509,0.0,0.3252048026333358,True
6901028079990,202511,1.0,0.5512297166592504,True
6901028079990,202601,0.0,0.4235208989672293,True
6901028079990,202602,0.0,0.5304270200575646,True
6901028079990,202603,0.0,0.5232904673592639,True
6901028079990,202604,0.0,0.34617487647238776,True
6901028079990,202605,0.0,0.5548604086460296,True
6901028079990,202606,0.0,0.6127277696944141,True
6901028080224,202502,0.0,0.47352038926799317,True
6901028080224,202503,0.0,0.41716573700145737,True
6901028080224,202504,0.0,0.13363455566982296,True
6901028080224,202506,1.0,0.2681832657924992,True
6901028080224,202508,0.0,0.2008479322706452,True
6901028080224,202509,0.0,0.1851267287267651,True
6901028080224,202511,1.0,0.36039828771486804,True
6901028080521,202502,0.0,0.8279256828150063,True
6901028080521,202504,1.0,0.6428823224816133,True
6901028084321,202502,0.0,0.5381088708010711,True
6901028084321,202503,0.0,0.5982547959632195,True
6901028084321,202504,0.0,0.30591268334349175,True
6901028084321,202505,0.0,0.36633932571913824,True
6901028084321,202511,0.0,0.5619745616131449,True
6901028084321,202512,0.0,0.5956238669561741,True
6901028084321,202601,0.0,0.8052356806566839,True
6901028084321,202602,0.0,0.4020218737993353,True
6901028084321,202606,0.0,0.48193659840606806,True
6901028084772,202505,0.0,0.49107121911575446,True
6901028084772,202506,0.0,0.5926915220968235,True
6901028084772,202507,0.0,0.4281690158241456,True
6901028084772,202508,0.0,0.35721665484994447,True
6901028084772,202509,0.0,0.3817035744960532,True
6901028084772,202510,0.0,0.2592686241912605,True
6901028084772,202511,0.0,0.5039583507631712,True
6901028084772,202512,0.0,0.36074544254785634,True
6901028084772,202601,0.0,0.4148980400843997,True
6901028084772,202602,0.0,0.6259712055240143,True
6901028084772,202603,0.0,0.323345332842395,True
6901028084772,202604,0.0,0.6197512862174556,True
6901028084772,202605,1.0,0.49029286005654127,True
6901028084772,202606,0.0,0.6468767288982022,True
6901028084925,202506,0.0,0.5923888567108139,True
6901028084925,202507,0.0,0.447880621315858,True
6901028084925,202508,0.0,0.33802589490487983,True
6901028084925,202509,0.0,0.3787006114575983,True
6901028084925,202510,0.0,0.25923414155834984,True
6901028084925,202511,0.0,0.3910513169387397,True
6901028084925,202512,0.0,0.45481527091175705,True
6901028084925,202601,0.0,0.4616799236346232,True
6901028084925,202602,0.0,0.665263862648953,True
6901028084925,202603,0.0,0.3946692705514436,True
6901028084925,202604,1.0,0.3397647695829395,True
6901028084925,202605,0.0,0.5418743502135919,True
6901028084925,202606,0.0,0.59018312837928,True
6901028092432,202508,1.0,0.27388596217353783,True
6901028092432,202605,0.0,0.5451989897273722,True
6901028092432,202606,1.0,0.7132203972277462,True
6901028098335,202508,0.0,0.37050906015065127,True
6901028098335,202509,0.0,0.3086956404106562,True
6901028098335,202510,0.0,0.25234893154218424,True
6901028098335,202603,0.0,0.34799342428971025,True
6901028098335,202604,0.0,0.4324987158154591,True
6901028098335,202605,0.0,0.2619210778665286,True
6901028102094,202502,1.0,0.8139273041334735,True
6901028102094,202503,0.0,0.5862608380347636,True
6901028102094,202504,0.0,0.6021165254983952,True
6901028102094,202505,0.0,0.6588520877372805,True
6901028104241,202502,0.0,0.7565626175241937,True
6901028104241,202503,0.0,0.6566044393180288,True
6901028104241,202504,1.0,0.534086378226026,True
6901028104241,202505,0.0,0.7918578703605359,True
6901028104241,202506,0.0,0.8940239409317721,True
6901028104241,202507,0.0,0.594996657009261,True
6901028104241,202508,0.0,0.36053082013812315,True
6901028104302,202505,0.0,0.5788960957327246,True
6901028104302,202506,0.0,0.643048693214521,True
6901028104302,202507,0.0,0.6268988670637713,True
6901028104302,202508,0.0,0.2787059329641871,True
6901028104302,202602,1.0,0.5800533376084114,True
6901028104302,202603,0.0,0.48680222908173465,True
6901028104302,202604,0.0,0.4180956945777829,True
6901028104302,202605,0.0,0.5806185105660224,True
6901028104302,202606,1.0,0.6253605966908188,True
6901028107150,202505,1.0,0.702468875857609,True
6901028107150,202506,0.0,0.6887625852254298,True
6901028111270,202502,0.0,0.2527902812069476,True
6901028111270,202503,1.0,0.436070644360966,True
6901028111270,202505,1.0,0.3127051647747269,True
6901028111270,202507,0.0,0.3406709771208182,True
6901028111270,202508,0.0,0.14241167401202504,True
6901028111270,202509,0.0,0.07014514979983068,False
6901028111270,202510,0.0,0.16045305674082627,True
6901028111270,202511,0.0,0.516925077502882,True
